player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2022,1879,939,-3.020693121711856,1.575609351200154,-1.445083770511702,-1.92204465771024,3.10818795971355,1.186143302003311,-3.006167871717018,2.001628319293403,-1.004539552423615,.8282372659173983,.8282372659173983,0,-2.579889184272707,2.103996530492814,-.4758926537798929,-.9523326620676679
Steven Adams,adamsst01,2022,2564,1243,-.0323579446967448,2.49788158574994,2.465523641053196,4.914678533273261,-.7450485247847926,4.169630008488469,.9625984875113213,1.960255787411636,2.922854274922957,3.591251676760363,3.591251676760363,0,1.271286362245259,2.900218584630449,4.171504946875709,-.1763031067210651
Bam Adebayo,adebaba01,2022,1694,835,-2.070351614955575,2.812917292706551,.7425656777509753,-3.633279751647402,3.553642788561096,-.0796369630863052,-2.568070913519645,3.112900620090578,.5448297065709315,1.411510417362145,1.411510417362145,0,-2.068273771857357,2.70284543550126,.6345716636439032,.5590079216895347
Santi Aldama,aldamsa01,2022,585,277,-2.925166629011899,-3.339723025785742,-6.26488965479764,-2.97843698729633,2.783447261542916,-.1949897257534143,-3.159411833352509,-2.313339404809576,-5.472751238162084,-.3850557283549745,-.3850557283549745,0,-2.025132167932231,-2.975409413896289,-5.00054158182852,.0679515483338217
LaMarcus Aldridge,aldrila01,2022,1729,825,.0241924038272684,2.551718484925421,2.57591088875269,3.081371514353056,-.4430299850481068,2.638341529304949,.6298534231443226,2.080884618574233,2.710738041718555,2.290939075718185,2.290939075718185,0,.8518088441653394,1.206280216135193,2.058089060300532,-.3287980485229881
Nickeil Alexander-Walker,alexani01,2022,2556,1240,-1.581964979849983,-1.9265164472346,-3.508481427084583,-1.313773004684771,-2.388064270574565,-3.701837275259336,-1.569590772898903,-2.106238086813149,-3.675828859712053,-.5890929337361629,-.5890929337361629,0,-.4062861731075447,-2.165883702778809,-2.572169875886354,.5744500811102043
Grayson Allen,allengr01,2022,2560,1214,.7886091701465763,-.3754598460395851,.4131493241069911,.603505109661375,1.360909391864896,1.96441450152627,.7822381512610612,-.0565558511848887,.7256823000761725,2.15533561271648,2.15533561271648,0,.5232045678207986,-.1753464174244056,.347858150396393,.1186553867392932
Jarrett Allen,allenja01,2022,2808,1377,.2243051421219265,3.924133579971893,4.14843872209382,1.77460696411131,1.600565768844955,3.375172732956265,.5542791200360692,3.605022180426472,4.159301300462542,4.835509855037664,4.835509855037664,0,.3967331309029774,3.181673783005614,3.578406913908592,-.3824263287351071
Jose Alvarado,alvarjo01,2022,517,246,2.956134541876478,5.534819906176899,8.490954448053376,3.119283381946448,3.83420273364512,6.953486115591567,3.193614453829992,5.559512675827678,8.75312712965767,1.435031512915601,1.435031512915601,0,3.499983938646595,5.196959251251066,8.696943189897659,-.6029593006670853
Justin Anderson,anderju01,2022,163,77,-.485934515767437,-2.312359631732301,-2.798294147499737,12.4050272277815,6.097037439477466,18.50206466725896,2.152526729012155,-.7608423928582319,1.391684336153923,.1674130355757501,.1674130355757501,0,.7086918334583455,-1.86253453915175,-1.153842705693405,.5300782952614709
